name,description,long_description
maxATAC: Transcription-Factor Binding Prediction From ATAC-seq with Deep Neural Networks,maxATAC is a user-friendly software suite that uses deep neural network models to predict transcription factor binding sites from ATAC-seq data.,"<p>Transcription factors play a critical role in connecting the DNA sequence to gene expression in different types of cells. By understanding how, where, and when these factors bind to chromatin, we can gain insights into the gene regulatory networks that control cellular behavior. This knowledge can help us unravel the complex mechanisms behind gene expression, potentially leading to new therapies for various diseases. maxATAC is the most extensive collection of state-of-the-art TFBS models available to date, with models available for 127 human TFs. Additionally, MaxATAC can perform well on primary cells and single-cell ATAC-seq data, making it a valuable tool for predicting TFBS in vivo.</p>
<p><span style=""font-weight: bold"">Example use case:</span> Predicting TFs' binding locations can significantly aid biological research by supplying reference materials for experimental validation.</p>
<p><span style=""font-weight: bold"">Technology:</span> Deep Neural Network</p>
<p><span style=""font-weight: bold"">Limitation:</span></p>
<ul style=""margin-left: 36pt"">
<li style=""list-style-type: disc"">Currently, only the bulk ATAC-seq option is available.</li>
<li style=""list-style-type: disc"">Parameters in the <span style=""font-style: italic; color: #0088FF; text-decoration: underline""><a href=""https://github.com/MiraldiLab/maxATAC/blob/main/docs/readme/prepare.md"" target=""_blank"" rel=""noreferrer"">prepare</a></span> and <span style=""font-style: italic; color: #0088FF; text-decoration: underline""><a href=""https://github.com/MiraldiLab/maxATAC/blob/main/docs/readme/predict.md"" target=""_blank"" rel=""noreferrer"">predict</a></span> steps are kept default.</li>
<li style=""list-style-type: disc"">The batch size parameter is set to 512.</li>
<li style=""list-style-type: disc"">Currently, only human organism models are applicable. (HG38 reference genome only)</li></ul>"
Bonito: Deep learning-based basecaller for Oxford Nanopore Reads,Bonito is an open-source basecaller for ONT reads.,"<p>A deep learning-based basecaller by Oxford Nanopore Technologies (ONT)</p>
<p><span style=""font-weight: bold"">Example use case: </span>Sequencing</p>
<p><span style=""font-weight: bold"">Technology: </span>A neural network architecture that consists of a single convolutional layer followed by three stacked bidirectional gated recurrent unit layers</p>
<p><span style=""font-weight: bold"">Limitations: </span>Works only with reads from ONT devices - does not work well with modified mRNA reads</p>"
nf-encyclopedia: A NextFlow pipeline for chromatogram library DIA proteomics workflows,"nf-encyclopedia is a NextFlow pipeline that analyzes DIA proteomics experiments, including those with or without chromatogram libraries. It integrates MSconvert, EncyclopeDIA, and MSstats to process mass spectra and generate quantified peptides and proteins.","<p>Data-independent acquisition (DIA) mass spectrometry techniques are highly valuable for comprehensive and systematic quantification of the proteome. However, the current landscape of open-source tools dedicated to analyzing DIA proteomics experiments remains limited. Moreover, the effective utilization of gas phase fractionated (GPF) chromatogram libraries for improved peptide detection and quantification in DIA experiments is lacking.</p>
<p>To bridge this gap, a novel open-source NextFlow pipeline called nf-encyclopedia was developed. This pipeline seamlessly integrates three open-source tools, namely MSConvert, EncyclopeDIA, and MSstats, forming a comprehensive solution for analyzing DIA proteomics experiments, regardless of the use of chromatogram libraries. <span style=""text-decoration: underline; color: #0088FF""><a href=""https://superbioai.notion.site/nf-encylopedia-6ccbda70600a4ced9e2a47b41bd60f58"" target=""_blank"" rel=""noreferrer"">Further information on this app can be found here.</a></span></p>
<p><span style=""font-weight: bold"">Example use case:</span> DIA mass spectrometry data analysis</p>
<p><span style=""font-weight: bold"">Technology:</span> Nextflow</p>
<p><span style=""font-weight: bold"">Limitation:</span> Some of the parameters were kept default. Please see this <span style=""text-decoration: underline; color: #0088FF""><a href=""https://talusbio.github.io/nf-encyclopedia/parameters/"" >page</a></span> for more detail.</p>"
Single Cell RNA-Seq Annotation: Custom Model,"Train a customized single cell annotation model, using scVI-Tools.","<p><span style=""font-style: normal; color: rgb(51, 51, 51); text-decoration-color: initial; font-weight: 400; box-sizing: border-box; orphans: 2; margin: 0px; font-size: 16px; padding: 0px; font-variant-ligatures: normal; font-family: Poppins, sans-serif !important; text-decoration-style: initial; background-color: rgb(255, 255, 255); font-variant-caps: normal; text-decoration-thickness: initial; text-align: start; text-indent: 0px; word-spacing: 0px; widows: 2; letter-spacing: normal; text-transform: none; webkit-text-stroke-width: 0px"">Train a customized single cell annotation model, using scVI-Tools. Data should be in .h5ad, .h5, mtx, or .csv format. Uses the Anndata python package, which natively supports .h5ad meaning that file format is most suitable. The target should be the feature you want to label: most commonly this will be cell type. Please ensure that the column with these values is selected. A model will be trained to predict cell type from input data, which can then be saved and used for other data sets, even where cell type is not known.<br><br></span><span style=""font-style: normal; color: rgb(51, 51, 51); text-decoration-color: initial; font-weight: bold; box-sizing: border-box; orphans: 2; margin: 0px; font-size: 16px; padding: 0px; font-variant-ligatures: normal; font-family: Poppins, sans-serif !important; text-decoration-style: initial; background-color: rgb(255, 255, 255); font-variant-caps: normal; text-decoration-thickness: initial; text-align: start; text-indent: 0px; word-spacing: 0px; widows: 2; letter-spacing: normal; text-transform: none; webkit-text-stroke-width: 0px"">Example use case: </span><span style=""font-style: normal; color: rgb(51, 51, 51); text-decoration-color: initial; font-weight: 400; box-sizing: border-box; orphans: 2; margin: 0px; font-size: 16px; padding: 0px; font-variant-ligatures: normal; font-family: Poppins, sans-serif !important; text-decoration-style: initial; background-color: rgb(255, 255, 255); font-variant-caps: normal; text-decoration-thickness: initial; text-align: start; text-indent: 0px; word-spacing: 0px; widows: 2; letter-spacing: normal; text-transform: none; webkit-text-stroke-width: 0px"">Train a model that can annotate cell types after clustering single-cell RNA sequencing (scRNA-seq) data</span></p>"
Heart Cell Annotation: Single Cell Inference & Retraining,scANVI model trained on Heart Atlas dataset,"<p><span style=""display: inline !important; font-style: normal; color: rgb(51, 51, 51); text-decoration-color: initial; font-weight: 400; orphans: 2; font-size: 16px; font-variant-ligatures: normal; font-family: Poppins, sans-serif; text-decoration-style: initial; background-color: rgb(255, 255, 255); font-variant-caps: normal; text-decoration-thickness: initial; text-align: start; text-indent: 0px; word-spacing: 0px; widows: 2; float: none; letter-spacing: normal; text-transform: none; webkit-text-stroke-width: 0px"">scANVI model trained on Heart Atlas dataset from The Heart Cell Atlas Database. Combined single cell and single nuclei RNA-Seq data of 485K cardiac cells with annotations.</span></p>"
Liver Cell Annotation: Single Cell Inference,scANVI model trained on human liver cell dataset,"<p><span style=""font-style: normal; color: rgb(0, 0, 0); text-decoration-color: initial; font-weight: 400; box-sizing: border-box; orphans: 2; margin: 0px; font-size: 16px; padding: 0px; font-variant-ligatures: normal; font-family: Poppins, sans-serif !important; text-decoration-style: initial; background-color: rgb(255, 255, 255); font-variant-caps: normal; text-decoration-thickness: initial; text-align: start; text-indent: 0px; word-spacing: 0px; widows: 2; letter-spacing: normal; text-transform: none; webkit-text-stroke-width: 0px"">scANVI model trained on human liver cell dataset from: ""Single-cell and bulk transcriptomics of the liver reveals potential targets of NASH with fibrosis.""</span><span style=""font-style: normal; color: rgb(51, 51, 51); text-decoration-color: initial; font-weight: 400; box-sizing: border-box; orphans: 2; margin: 0px; font-size: 16px; padding: 0px; font-variant-ligatures: normal; font-family: Poppins, sans-serif !important; text-decoration-style: initial; background-color: rgb(255, 255, 255); font-variant-caps: normal; text-decoration-thickness: initial; text-align: start; text-indent: 0px; word-spacing: 0px; widows: 2; letter-spacing: normal; text-transform: none; webkit-text-stroke-width: 0px"">&nbsp;</span></p>"
Mouse Retina Cell Annotation: Single Cell Inference,scANVI model trained on Mouse retinal bipolar neuron drop seq dataset,"<p><span style=""font-style: normal; color: rgb(0, 0, 0); text-decoration-color: initial; font-weight: 400; box-sizing: border-box; orphans: 2; margin: 0px; font-size: 16px; padding: 0px; font-variant-ligatures: normal; font-family: Poppins, sans-serif !important; text-decoration-style: initial; background-color: rgb(255, 255, 255); font-variant-caps: normal; text-decoration-thickness: initial; text-align: start; text-indent: 0px; word-spacing: 0px; widows: 2; letter-spacing: normal; text-transform: none; webkit-text-stroke-width: 0px"">scANVI model trained on Mouse retinal bipolar neuron drop seq dataset from: ""Comprehensive classification of retinal bipolar neurons by single-cell transcriptomics.""</span><span style=""font-style: normal; color: rgb(51, 51, 51); text-decoration-color: initial; font-weight: 400; box-sizing: border-box; orphans: 2; margin: 0px; font-size: 16px; padding: 0px; font-variant-ligatures: normal; font-family: Poppins, sans-serif !important; text-decoration-style: initial; background-color: rgb(255, 255, 255); font-variant-caps: normal; text-decoration-thickness: initial; text-align: start; text-indent: 0px; word-spacing: 0px; widows: 2; letter-spacing: normal; text-transform: none; webkit-text-stroke-width: 0px"">&nbsp;</span></p>"
Single Cell RNA-Seq Annotation: Auto Train Model,Train a single cell annotation model using Auto ML and scVI-Tools,"<div><span style=""font-style: normal; color: rgb(51, 51, 51); text-decoration-color: initial; font-weight: 400; box-sizing: border-box; orphans: 2; margin: 0px; font-size: 16px; padding: 0px; font-variant-ligatures: normal; font-family: Poppins, sans-serif !important; text-decoration-style: initial; background-color: rgb(255, 255, 255); font-variant-caps: normal; text-decoration-thickness: initial; text-align: start; text-indent: 0px; word-spacing: 0px; widows: 2; letter-spacing: normal; text-transform: none; webkit-text-stroke-width: 0px"">Automatically train a single cell annotation model, using scVI-Tools. Data should be in .h5ad, .h5, mtx, or .csv format. Uses the Anndata python package, which natively supports .h5ad meaning that file format is most suitable. The target should be the feature you want to label: most commonly this will be cell type. Please ensure that the column with these values is selected. A model will be trained to predict cell type from input data, which can then be saved and used for other data sets, even where cell type is not known.<br><br></span><span style=""font-style: normal; color: rgb(51, 51, 51); text-decoration-color: initial; font-weight: bold; box-sizing: border-box; orphans: 2; margin: 0px; font-size: 16px; padding: 0px; font-variant-ligatures: normal; font-family: Poppins, sans-serif !important; text-decoration-style: initial; background-color: rgb(255, 255, 255); font-variant-caps: normal; text-decoration-thickness: initial; text-align: start; text-indent: 0px; word-spacing: 0px; widows: 2; letter-spacing: normal; text-transform: none; webkit-text-stroke-width: 0px"">Example use case: </span><span style=""font-style: normal; color: rgb(51, 51, 51); text-decoration-color: initial; font-weight: 400; box-sizing: border-box; orphans: 2; margin: 0px; font-size: 16px; padding: 0px; font-variant-ligatures: normal; font-family: Poppins, sans-serif !important; text-decoration-style: initial; background-color: rgb(255, 255, 255); font-variant-caps: normal; text-decoration-thickness: initial; text-align: start; text-indent: 0px; word-spacing: 0px; widows: 2; letter-spacing: normal; text-transform: none; webkit-text-stroke-width: 0px"">Train a model that can annotate cell types after clustering single-cell RNA sequencing (scRNA-seq) data</span></div>"
Paper QA,Question and answering from PDFs with no hallucinations and with in-text citations.,"<p>Paper QA answers questions from documents with citations. Upload PDF files you wish to ask questions about. You can upload as many files as needed as long as the sum of the file sizes is less than 7 MB. You can upload more files later, even after submitting a question. Our engineers may review questions and responses to improve our systems and bug fixes. Please don't share any sensitive information.</p>
<p><span style=""font-weight: bold"">Example use case:</span> Summarize findings of biomedical research papers</p>
<p><span style=""font-weight: bold"">Limitations</span>: You are limited to 5000 tokens per day. Tokens are refilled daily at 00:00UTC. Can cite a maximum of 3 sources. Contact us at help@superbio.ai to upgrade to premium to increase your token limit.</p>"
SATURN: Uniting Single-cell Gene Expressions with Protein Sequences for Cross-Species Integration,"SATURN is a deep learning method that uses protein language models to learn universal cell embeddings, enabling joint analysis of cross-species single-cell datasets. It integrates RNA expression with protein embeddings, allowing the detection of functionally related genes across species.","<p>Cell mapping consortia have generated large-scale single-cell datasets to understand cellular processes. However, analyzing datasets from different species together remains challenging. SATURN is a deep learning approach that integrates cross-species single-cell RNA expression data by combining gene expression with protein embeddings from language models. SATURN introduces the concept of macrogenes, functionally related gene groups, based on protein representations.</p>
<p>It enables multi-species differential expression analysis and facilitates the mapping of datasets to a universal embedding space. SATURN is applied to integrate diverse datasets like the Human Cell Atlas, Mouse Cell Atlas, and Fly Cell Atlas, resulting in a comprehensive mammalian cell atlas. It also integrates frog and zebrafish embryogenesis datasets.</p>
<p>SATURN successfully transfers annotations across species, identifies homologous and species-specific cell types, and reveals potential functional differences in glaucoma-associated genes. By leveraging protein language models, SATURN improves cross-species analysis, enhancing our understanding of evolutionary processes and the link between cellular diversity and anatomical/physiological variation.</p>
<p><span style=""font-weight: bold"">Example use case:</span> Performing multi-species single-cell differential expression analysis.</p>
<p><span style=""font-weight: bold"">Technology:</span> Embeddings, Large Protein Language Models</p>
<p><span style=""font-weight: bold"">Limitation:</span></p>
<ul style=""margin-left: 36pt"">
<li style=""list-style-type: disc"">Some of the parameters were kept default. Please see this <span style=""text-decoration: underline; color: #0088FF""><a href=""https://github.com/snap-stanford/SATURN/blob/main/Vignettes/frog_zebrafish_embryogenesis/Train%20SATURN.ipynb"" >page</a></span> for more details.</li>
<li style=""list-style-type: disc"">The training part for protein embeddings is not accessible in this version. However, pre-trained protein embeddings are available, limited explicitly to ESM-2.</li>
<li style=""list-style-type: disc"">The 'cell_type' information for cell types must be provided in the 'obs' section of the .h5ad datasets.</li></ul>"
scGPT: Gene Regulatory Network Inference on Pre-trained Models,scGPT is a generative pre-trained transformer model explicitly designed for single-cell biology research and analysis.,"<p>scGPT is a foundation model for single-cell biology, based on generative pre-trained transformers trained on a vast repository of over 33 million cells. The scGPT model demonstrates the ability to extract valuable biological insights and can be further optimized through transfer learning for various downstream applications, including cell-type annotation, multi-batch integration, genetic perturbation prediction, and gene network inference.</p>
<p><span style=""font-weight: bold"">Example use case:</span> Gene regulatory network inference</p>
<p><span style=""font-weight: bold"">Technology:</span> Transformers</p>
<p><span style=""font-weight: bold"">Limitation:</span></p>
<ul style=""margin-left: 36pt"">
<li style=""list-style-type: disc"">Some of the parameters were kept default. Please see this <span style=""color: #0088FF""><a href=""https://scgpt.readthedocs.io/en/latest/tutorial_grn.html"" >page</a></span> for more details.</li></ul>"
DeepLIIF Inference,Segment cells by positive versus negative protein expression levels,
